comments,reaction
돈 없으면 먹지마라 서민들끼리 등쳐먹고 살면 좋냐? 다 어렵게 산다,0
세상에 거지들이 왤케 많을까,0
걱정되시면 사업자 만들고 카드체크기 쓰면 되는데 스트레스 받지마시고 당장 만드시죠,0
개인사업자 신청하고 카드받고 세금내고 장사하세요.0허나 빼고 입금하는 사람들도 양심없지만 붕어빵 장사도 양심없음.,0
양심에 털난 인간들 ㅡㅡ붕어빵 사장님들 은행가서  무료 입금알람오는거 신청하세요  먹튀방지 차원 ~~,0
정부이길 포기한거냐?,0
왜.....?,0
윤석열 효과. 무엇을 상상하든 그 이상! ㅋ,0
와 이번정부 하루하루가 새롭다,0
윤깡통 탄핵에 매우 공감하시는분 따봉눌러보세요,0
본인의 의견은 존중하나 러시아 시민권 받으시면 한국국적은 포기해 주었으면 싶네요. 그냥 러시아 국민으로 사시길 부탁합니다.,0
여기저기 정신 나간 것들이 있어!,0
정신나간거 돌아오지마래라 어디가서 한국인이란 소리 하지마라,0
"한국에서 사고치고 도망간 노미겠지, 미쳤다고 푸틴한테 가냐고!",0
is에 자진입대해서 폭격맞고 죽은한국인도 있었지,0
솔직히 저건 저 빌라에 서식하는 쥐가 틈새로 들어간거같은데ㅋㅋㅋ,0
바쁜아침  프레쉬백 찍찍이 뗄때마다 찍찍이가 너무 세게 붙어잇어서  스트레스받는데  저안에 쥐가 어떻게 들어간담?  신기방기 하구만,0
아...배달후 들간거같은데....,0
이걸 어떻게 사실증명은 하냐.사실 이용자가 sns에 올리는걸 다 믿을순 없지.,0
쿠팡에서 쥐를 배달한게 아니라 주문한 집 계단에 쥐 다니나보네..,0
눌러서 터지면 죽는거 아닌가,0
빈대보고 어느세월에 스팀을 꺼내라고.... 걍 스카치테이프로 양면을 포장?해서 버리면 될 것 같은데;;;,0
스팀다리미 준비한다고 놓치겠다 휴지로 감싸고 짖눌러터트리고 변기에 버리는게 낫지않는가,0
