title,link,category,reaction
“통장 봤더니 200원”…붕어빵 ‘계좌이체’ 거부하는 사연 [잇슈 키워드],https://n.news.naver.com/article/056/0011604217?ntype=RANKING,사회,부정
행정전산망 오류 이어 ‘정부24’도 중단…“오늘 복구 기다려봐야”,https://n.news.naver.com/article/056/0011604543?ntype=RANKING,정치,부정
"러 매체 “한국 청년, 러시아군 자원입대해 실전 투입” [현장영상]",https://n.news.naver.com/article/056/0011604417?ntype=RANKING,정치,부정
배달된 쿠팡 상자서 살아 있는 쥐 나와…방역 업체가 포획,https://n.news.naver.com/article/056/0011604633?ntype=RANKING,사회,부정
“파리채로 내리쳐도 빈대가 죽을까?”…빈대 퇴치 행동요령 [오늘 이슈],https://n.news.naver.com/article/056/0011604585?ntype=RANKING,세계,부정
"‘이재명 민주당’에 환멸 느낀 이상민, 독자 행보로 탈당 신호탄 쏘나[주간 여의도 Who?]",https://n.news.naver.com/article/081/0003409616?ntype=RANKING,정치,부정
김포시 “시민 68%가 서울 편입 찬성” 여론조사 결과발표,https://n.news.naver.com/article/081/0003409653?ntype=RANKING,사회,부정
"“한파 속 잠옷 입은 치매아빠에 외투 벗어주고 간 시민”…딸, 눈물 쏟았다",https://n.news.naver.com/article/081/0003409628?ntype=RANKING,생활/문화,부정
"“모텔에 여학생 감금 성폭행, 실시간 방송한” 고교생 무더기 기소",https://n.news.naver.com/article/081/0003409624?ntype=RANKING,사회,부정
손자 이재용에 ‘징역 5년’ 구형된 날...용인서 이병철 36주기 추도식,https://n.news.naver.com/article/081/0003409648?ntype=RANKING,사회,부정
‘행정망 먹통’ 남편 화장장에 안치도 못 하고…전국 대혼란,https://n.news.naver.com/article/028/0002665058?ntype=RANKING,사회,부정
"두 다리 절단한 4살 “걸으러 나가고 싶어, 삼촌…근데 엄마는?”",https://n.news.naver.com/article/028/0002665052?ntype=RANKING,생활/문화,부정
"질병청표 빈대 퇴치법 “다리미로 30초, 헤어드라이어로 60초”",https://n.news.naver.com/article/028/0002665076?ntype=RANKING,사회,부정
"민주 “전자정부마저 허무는 윤 정부, 국가 마비시키려는 건가”",https://n.news.naver.com/article/028/0002665081?ntype=RANKING,정치,부정
400년 전 환향녀 목소리 들려준 ‘연인’…“제 잘못이 아닙니다”,https://n.news.naver.com/article/028/0002665000?ntype=RANKING,생활/문화,부정
"16세 정동원, 20억 합정 주상복합 매입…임영웅 이웃사촌 됐다",https://n.news.naver.com/article/025/0003322325?ntype=RANKING,사회,부정
"대구 찾은 한동훈, 아내도 첫 공개행보…총선 출마 임박 시그널?",https://n.news.naver.com/article/025/0003322363?ntype=RANKING,정치,부정
