title,category
" 尹, IPEF 정상회의 참석…인·태 14개국 정상 ""에너지 안보·기술 협력 확대""",정치
" 尹 ""성과 기원"" 시진핑 ""협력 희망""…3분 덕담",정치
" 바이든, 尹에 ""국빈방미 때 멋진 노래""…'아메리칸 파이'",정치
" 尹 ""한미일 안보·경제 협력은 동전의 양면…우린 100% 신뢰""",정치
 3개월 만에 다시 만난 한미일 정상,정치
" 尹대통령·김건희 여사, 바이든 맞은편서 만찬…옆자리는?",정치
" APEC서도 '아메리칸 파이' 화제…바이든 ""윤 대통령, 멋진 노래""",정치
" 한일 7번째 정상회담, 한중정상회담은 불투명…왜?[정다운의 뉴스톡]",정치
" 韓, 스마트 모빌리티 늘릴 이니셔티브 제안",정치
" TK신공항 건설사업 속도… 정부, 기본계획 용역 발주절차 착수",정치
" 여야, 0~6세 영유아 의료비 세액공제 한도 폐지키로",정치
" [단독] 국민의힘 혁신위 ""당 지도부와 속도 맞출 것…오해 풀렸다""",정치
 통일부 예산안에 민주 “‘북한인권부’ ‘분단유지부’로 바꿔라”,정치
" 尹 ""내 철학과 믿음 미일이 공감"", 바이든 ""한일 덕에 짐 덜어""",정치
 ‘횡재세’ 두고 이재명 “도입해야” vs 윤재옥 “포퓰리즘”,정치
 찾아가는 거리상담에서 청소년 만나는 김현숙 장관,정치
" '무죄 호소' 이재용 ""때로 자책…합병서 개인 이익 염두에 둔 적 없어""",정치
 ‘원칙과 상식’ 윤영찬 “일단 4명이지만…눈덩이 굴릴 눈뭉치”,정치
" ""나에게온당""… 민주당, 총선 앞두고 2030 겨냥 새 현수막",정치
" 與 인재영입위, 국민추천제 실시…""이상민 오면 역대급 몸값 제공""",정치
 中단둥∼北신의주 화물트럭 운행 3년10개월 만에 재개,정치
" '방북' 러 장관 ""北과 식량수출·지질조사 논의""",정치
동영상기사,정치
 사라진 '인민 호날두' 북한 한광성 3년 만에 A매치 등장,정치
 中 자원 무기화에 대응… 印太 핵심광물 대화체 출범 선언 [뉴스 투데이],정치
" 北 '위성' 발사 통보 아직… 외교부 ""국제기구에 접수 안 돼""",정치
 한·미·일 정상 APEC서 결속강화 과시,정치
 러시아 대표단과 담화는 북한 김덕훈 총리,정치
" 미국 한국어교육재단, 한식 알리는 '아이 러브 김치' 행사",정치
 [K-브랜드 알리는 동포 차세대] ③ 약탈 문화재 찾는 남지은 씨,정치
" '미사일공업절' 하루 전…""북한 위성 발사 계획 통보 없어""",정치
" 법원 ""MB·원세훈, '블랙리스트' 배상…국가배상은 시효 지나""(종합)",정치
 윤 대통령 “안보-경제는 ‘동전 양면’…한미일 정상 암묵적 공감”,정치
" 권익위 ""부산검찰청 인근 '공용시설보호지구', 재검토 필요""",정치
" 육군 3군단, 20∼24일 인제·동해안서 대침투 종합훈련",정치
" 유인촌 장관, 한-교황청 수교 60주년 기념 기획전 축사",정치
 한-교황청 수교 60주념 기념 기획전 기념식 참석한 유인촌 장관,정치
 염수정 추기경과 인사하는 유인촌 장관,정치
 교화청 국무장관과 인사 나누는 유인촌 장관,정치
 제27회 민원봉사대상,정치
 관광 협력 양해각서 체결한 장미란 차관,정치
 정부 민원서류 서비스 온종일 '먹통'…시민 불편 잇따라(종합2보),정치
 김성한 “미국 대선에 따라 한미동맹 크게 흔들릴 수 있다”,정치
 '알레르기 유발 물질 미표시' 롤케익 등 판매중단·회수,정치
 한·미 동맹 '美방산물자 우선 공급'으로 결속 강화,정치
동영상기사,정치
" 육사, 30일까지 독립영웅실 철거…""역사 왜곡 아냐""",정치
" K방산, 美 함정사업도 진출하나",정치
동영상기사,정치
" 한미일 등 IPEF 14개국, 핵심광물 공급망 강화 합의",정치
" 여야, 예산소위서 댐 건설·경사노위 예산 두고 공방",정치
" 中매체들, 美中회담 이틀째 찬사…전문가는 ""이견 여전"" 지적",정치
" APEC서도 '아메리칸 파이' 화제…바이든 ""윤 대통령, 멋진 노래""",정치
" 여야, 0~6세 영유아 의료비 세액공제 한도 폐지키로",정치
동영상기사,정치
" '개 식용 금지법' 만든다…""먹을거리 제한"" 업계는 반발",정치
동영상기사,정치
" 윤 대통령, 시진핑과 '짧은 만남' 기시다와 '밀착 만남'",정치
" 국회 의자 개당 60만원짜리로 교체? 국회사무처 ""검토만…예산 반영 안됐다""",정치
동영상기사,정치
" 한동훈 ""평소 대구시민 깊이 존경""…출마설엔 선 긋기",정치
동영상기사,정치
 특별법 공식화에 급물살 탄 '개 식용 금지'‥보상 문제가 관건,정치
동영상기사,정치
" [단독] ""경제는 모르지만 돈은 많고 싶어!"" 민주당 새 현수막 논란",정치
동영상기사,정치
" 인요한 ""고통스런 쓴소리 계속"", 김기현 ""가감없이 전해달라""",정치
" 바이든, APEC서 ‘아메리칸 파이’ 언급… “尹, 국빈방미 때 멋진 노래”",정치
" '무죄 호소' 이재용 ""때로 자책…합병서 개인 이익 염두에 둔 적 없어""",정치
" 거래소, 기술특례상장 주관사 풋백옵션 의무 확대",경제
" 당정, 은행권 초과이익 대책 마련",경제
" NH·다올·교보증권, 효성중공업 제기한 1천400억원 손배소 승소(종합)",경제
" 교보생명, 보험 안내 자료에 '교보문고 향' 입혔다",경제
" 기업은행, 05년생 수험생 선착순 3000명 대상 'BHC 기프티콘' 제공",경제
" 한국씨티은행, '개인 컵 사용의 날' 행사",경제
" KB금융, 양종희 차기 회장 공식 선임…""막중한 책임""",경제
동영상기사,경제
 [단독] 4대 은행 떼인 대출 2.8조…1년 새 28%↑,경제
 [ETF줌인] 월 배당에 주가 상승 효과 노려…콜옵션으로 年 7% 추가 수익도,경제
" 조달비용 상승·소비위축에…카드·캐피털, 실적둔화 지속",경제
" 거래소, 기술특례상장 폿백옵션 의무 확대...""주관사 책임 강화""",경제
" 中, 美국채 보유액 6개월 연속 감소…14년만에 최저 수준",경제
" 거래소, 기술특례상장 주관사 의무 강화...‘파두 사태' 막는다",경제
 주관사 책임 강화해 부실기업의 쉬운 기술특례 상장 막는다,경제
" 거래소, 기술특례상장 주관사 풋백옵션 의무 확대",경제
동영상기사,경제
 아마존 내년부터 차도 판다…파트너는 현대차,경제
" 거래소, 기술특례상장 주관사 의무 강화...‘실적 부풀리기’ 막는다",경제
동영상기사,경제
 '20점도 당첨' 달라진 청약시장…5만 명 통장 버렸다,경제
" 옛 중앙일보빌딩, 19층보다 높아진다…녹지공간 내주고 층수 올려",경제
동영상기사,경제
 경기 둔화 17개월 만에 '회복' 조짐이라는데…서민·자영업자 온기는 시간 더 걸려,경제
동영상기사,경제
 전관업체 계약해지 한다더니…LH 혁신안 곧 발표,경제
동영상기사,경제
" '징역 5년 구형' 이재용 ""개인 이익 염두한 적 없어""",경제
" 이재용 '부당합병' 3년 공방 마무리…""공짜 승계""VS""지배구조 투명화""(종합2보)",경제
" ""저에겐 새로운 사명 많아"" 끝내 울먹인 이재용…1심 향방은(종합)",경제
" 부광약품, 이우현 단독 대표 체제로",경제
 8년째 사법리스크 이재용 “합병 관련 개인 이익 염두에 둔 적 없어”(종합),경제
" 목메인 이재용 ""합병 과정서 이익 염두 안해…앞으로 나아갈 기회 부탁""",경제
 ①커피 한 사이즈 UP ②버거·피자 세트 할인...수능 수험표의 소중함을 느낄 시간~,경제
" '인터넷 접속 오류' LGU+, 장애 시간 10배 요금 감면",경제
" 반도체 위기에, 총수 부재 가능성도…삼성, '초긴장'",경제
" 롯데월드 놀이기구 '혜성특급' 운행 중 멈춰…""인명피해 없어""",경제
" 바이오넷, 독일 의료산업전시회서 '무선초음파·동물센서' 등 선봬",경제
" ""반도체 소자로 이미징 레이더 최적화"" 비트센싱, 특허기술상 수상",경제
" HB인베, 350억 딥테크 펀드 결성…""올해 결성액만 총 820억""",경제
" 유웅환 한국벤처투자 대표, 임기 2년 남기고 사의표명",경제
" '대체 생선' 들고 온 獨 창업가…""한국인 입맛 딱 맞췄죠""",경제
" ""더 진짜같은 인공장기 제작""…'바이오프린팅' 개척하는 女벤처스",경제
" 김영집 광주TP원장, ASPA 차기 회장 선출…K-기업가정신 소개",경제
" 아이넥스, 'KDDW 2023'서 AI 위·대장내시경 'ENAD' 선봬",경제
